timestamp,total_i_mA,batt_mV,core_temp_C,safety,ch1_name,ch1_status,ch1_state,ch1_voltage_mV,ch1_i_inst_mA,ch1_i_avg_mA,ch2_name,ch2_status,ch2_state,ch2_voltage_mV,ch2_i_inst_mA,ch2_i_avg_mA,ch3_name,ch3_status,ch3_state,ch3_voltage_mV,ch3_i_inst_mA,ch3_i_avg_mA,ch4_name,ch4_status,ch4_state,ch4_voltage_mV,ch4_i_inst_mA,ch4_i_avg_mA,ch5_name,ch5_status,ch5_state,ch5_voltage_mV,ch5_i_inst_mA,ch5_i_avg_mA,ch6_name,ch6_status,ch6_state,ch6_voltage_mV,ch6_i_inst_mA,ch6_i_avg_mA,ch7_name,ch7_status,ch7_state,ch7_voltage_mV,ch7_i_inst_mA,ch7_i_avg_mA,ch8_name,ch8_status,ch8_state,ch8_voltage_mV,ch8_i_inst_mA,ch8_i_avg_mA,ch9_name,ch9_status,ch9_state,ch9_voltage_mV,ch9_i_inst_mA,ch9_i_avg_mA,ch10_name,ch10_status,ch10_state,ch10_voltage_mV,ch10_i_inst_mA,ch10_i_avg_mA,ch11_name,ch11_status,ch11_state,ch11_voltage_mV,ch11_i_inst_mA,ch11_i_avg_mA,ch12_name,ch12_status,ch12_state,ch12_voltage_mV,ch12_i_inst_mA,ch12_i_avg_mA,ch13_name,ch13_status,ch13_state,ch13_voltage_mV,ch13_i_inst_mA,ch13_i_avg_mA,ch14_name,ch14_status,ch14_state,ch14_voltage_mV,ch14_i_inst_mA,ch14_i_avg_mA,ch15_name,ch15_status,ch15_state,ch15_voltage_mV,ch15_i_inst_mA,ch15_i_avg_mA,ch16_name,ch16_status,ch16_state,ch16_voltage_mV,ch16_i_inst_mA,ch16_i_avg_mA
1778949340.0204446,0.0,12788,-52.0,0,,0,0,0,0,0.0,,0,0,0,0,0.0,,1,1,12717,0,0.0,,0,0,0,0,0.0,,8,1,0,0,0.0,,0,0,0,0,0.0,,8,1,65,0,0.0,,1,1,12717,0,0.0,,0,1,12777,0,0.0,,0,1,12794,0,0.0,,0,1,12810,0,0.0,,0,1,12750,0,0.0,,0,0,0,0,0.0,,0,1,12827,0,0.0,,0,0,0,0,0.0,,0,1,12756,0,0.0
1778949340.071644,0.0,12751,-51.0,0,,0,0,0,0,0.0,,0,0,0,0,0.0,,1,1,12788,0,0.0,,0,0,0,0,0.0,,8,1,0,0,0.0,,0,0,0,0,0.0,,8,1,65,0,0.0,,1,1,12766,0,0.0,,0,1,12805,0,0.0,,0,1,12821,0,0.0,,0,1,12766,0,0.0,,0,1,12750,0,0.0,,0,0,0,0,0.0,,0,1,12832,0,0.0,,0,0,0,0,0.0,,0,1,12772,0,0.0
1778949340.1240711,0.0,12751,-51.0,0,,0,0,0,0,0.0,,0,0,0,0,0.0,,1,1,12684,0,0.0,,0,0,0,0,0.0,,8,1,0,0,0.0,,0,0,0,0,0.0,,8,1,65,0,0.0,,1,1,12684,0,0.0,,0,1,12805,0,0.0,,0,1,12821,0,0.0,,0,1,12766,0,0.0,,0,1,12750,0,0.0,,0,0,0,0,0.0,,0,1,12832,0,0.0,,0,0,0,0,0.0,,0,1,12772,0,0.0
1778949340.1746888,0.0,12788,-51.0,0,,0,0,0,0,0.0,,0,0,0,0,0.0,,1,1,12777,0,0.0,,0,0,0,0,0.0,,8,1,0,0,0.0,,0,0,0,0,0.0,,8,1,65,0,0.0,,1,1,12750,0,0.0,,0,1,12799,0,0.0,,0,1,12816,0,0.0,,0,1,12788,0,0.0,,0,1,12723,0,0.0,,0,0,0,0,0.0,,0,1,12788,0,0.0,,0,0,0,0,0.0,,0,1,12794,0,0.0
1778949340.230661,0.0,12788,-51.0,0,,0,0,0,0,0.0,,0,0,0,0,0.0,,1,1,12772,0,0.0,,0,0,0,0,0.0,,8,1,0,0,0.0,,0,0,0,0,0.0,,8,1,71,0,0.0,,1,1,12772,0,0.0,,0,1,12745,0,0.0,,0,1,12805,0,0.0,,0,1,12723,0,0.0,,0,1,12734,0,0.0,,0,0,0,0,0.0,,0,1,12766,0,0.0,,0,0,0,0,0.0,,0,1,12745,0,0.0
1778949340.2839115,0.0,12800,-52.0,0,,0,0,0,0,0.0,,0,0,0,0,0.0,,1,1,12788,0,0.0,,0,0,0,0,0.0,,8,1,0,0,0.0,,0,0,0,0,0.0,,8,1,71,0,0.0,,1,1,12717,0,0.0,,0,1,12783,0,0.0,,0,1,12766,0,0.0,,0,1,12783,0,0.0,,0,1,12766,0,0.0,,0,0,0,0,0.0,,0,1,12799,0,0.0,,0,0,0,0,0.0,,0,1,12739,0,0.0
1778949340.3392448,0.0,12763,-52.0,0,,0,0,0,0,0.0,,0,0,0,0,0.0,,1,1,12745,0,0.0,,0,0,0,0,0.0,,8,1,0,0,0.0,,0,0,0,0,0.0,,8,1,65,0,0.0,,1,1,12788,0,0.0,,0,1,12750,0,0.0,,0,1,12766,0,0.0,,0,1,12684,0,0.0,,0,1,12739,0,0.0,,0,0,0,0,0.0,,0,1,12805,0,0.0,,0,0,0,0,0.0,,0,1,12783,0,0.0
1778949340.3899517,0.0,12763,-52.0,0,,0,0,0,0,0.0,,0,0,0,0,0.0,,1,1,12766,0,0.0,,0,0,0,0,0.0,,8,1,0,0,0.0,,0,0,0,0,0.0,,8,1,60,0,0.0,,1,1,12766,0,0.0,,0,1,12810,0,0.0,,0,1,12788,0,0.0,,0,1,12706,0,0.0,,0,1,12739,0,0.0,,0,0,0,0,0.0,,0,1,12821,0,0.0,,0,0,0,0,0.0,,0,1,12745,0,0.0
1778949340.4408493,0.0,12813,-51.0,0,,0,0,0,0,0.0,,0,0,0,0,0.0,,1,1,12756,0,0.0,,0,0,0,0,0.0,,8,1,0,0,0.0,,0,0,0,0,0.0,,8,1,76,0,0.0,,1,1,12717,0,0.0,,0,1,12810,0,0.0,,0,1,12761,0,0.0,,0,1,12783,0,0.0,,0,1,12717,0,0.0,,0,0,0,0,0.0,,0,1,12816,0,0.0,,0,0,0,0,0.0,,0,1,12777,0,0.0
1778949340.4918602,0.0,12763,-51.0,0,,0,0,0,0,0.0,,0,0,0,0,0.0,,1,1,12756,0,0.0,,0,0,0,0,0.0,,8,1,0,0,0.0,,0,0,0,0,0.0,,8,1,76,0,0.0,,1,1,12717,0,0.0,,0,1,12810,0,0.0,,0,1,12761,0,0.0,,0,1,12783,0,0.0,,0,1,12717,0,0.0,,0,0,0,0,0.0,,0,1,12816,0,0.0,,0,0,0,0,0.0,,0,1,12777,0,0.0
